title,transcript,likes,comments,views,duration_sec,total_claims,false_claims,label
How to Diagnose ADHD,"[music] Finally, a scan that can detect ADHD. No, that's not a thing. Let's talk about why. Hi, I'm Dr. Mona. I make sense of all things child development, parenting, and health. So, if you're not already following, click that follow button. Now, I get it. When you're concerned about your child's development, or behavior, the idea of one quick test that gives you answers sounds amazing. But ADHD isn't something a machine can pick up. If there were, mainstream medicine would have incorporated it into practice. And especially as a DO or osteopathic physician, I'm always curious about the mind body connection. But ADHD is a neurodedevelopmental condition, not stress stuck in the nervous system. The brain is wired a little differently, especially in the areas that control attention, activity level, and impulse control. And here's something every parent should know. Most experts don't diagnose ADHD before age four. And that child in the video definitely looks under four. Why? Because toddlers are still developing. It's neurotypical at 2 or 3 years old to be distractable, impulsive, and full of energy. That's development, not ADHD. So, when you see someone offering a neurological insight scan to find the real cause of ADHD behaviors, here's what that really is. These scans measure things like muscle tension, skin temperature, and heart rate patterns. None of that can tell you anything about ADHD, attention, or brain wiring. They look fancy and medical, but they don't diagnose anything. And if your active child is running around, which many are, it can pick up stress that is typical for an active kid. Think of them as a stress snapshot, not a map of your child's wiring or their brain. And worse, they're often marketed to worried parents. Parents who just want answers when no legitimate medical organization recognizes these scans as diagnostic for anything. Here's what we actually know about ADHD. ADHD often runs in families. It shows up in more than one setting, at home, school, or social situations. Diagnosis is based on history and patterns and not machines or marketing. So, when you see a colorful scan claiming to find the root cause of ADHD, take it as a red flag. What your child needs isn't a gimmick. It's understanding, patience, and an evaluation by people who actually study child development. ADHD isn't about broken wiring. It's about different wiring. And when kids get the right support, they can thrive.",380,11,9124,147,9,0,1
Doctors have to BE CAREFUL with ADHD Diagnosis,listen I've been to college we know what we know what like Adderall other stimulus exactly yeah there's High concerns that it can be um diverged look I have a friend and he has ADHD um does he really does he not I don't know I'm not his doctor um I I can't say for sure right but he is diagnosed by somebody receiving at all on a monthly basis and he never takes it he just sells it and it's kind of like a Lifeline for him um so I do understand that there's stuff like that going on we always have to be vigilant that we're not over medicating our children especially with these changing DSM criteria and I know you kind of mentioned the ADHD one but that's one where the criteria has changed a whole bunch in the past several um decades right the criteria has gotten softer it's easier to diagnose ADHD now,27,0,1812,44,4,0,1
The rate of ADHD diagnosis has more than doubled since 2020. WHY?,fun fact the rate of adult diagnosis of ADHD has more than doubled since 2020 now we all know what happened to 2020 no need to go back there but what would make that year specific in terms of this increased rate of diagnosis because that was the year when everybody's life all of our structure and routines and habits got upended and we had to recreate life from scratch well a lot of us did anyways and one thing to know about ADHD is that is really hard to make transitions either long-term transitions like we all had to deal with over the course of the pandemic but also small transitions that can happen at any point in the day like turning off your computer and transitioning from work brain to home brain or transitioning from what you're looking at on a screen to your little kid who is trying to get your attention that task switching is really difficult for adhders so you can see now why 2020 was the big Reckoning for adults with ADHD to finally get that diagnosis,137,6,1472,59,4,3,3
Diagnostic Criteria ADHD #adhd,this is the diagnostic criteria for ADHD in the UK so there are two potential presentations of ADHD in attentive type and hyperactive and impulsive type and within each section there are a list of diagnostic criteria in the inattentive type it's things like being unable to complete tasks struggling to follow verbal instructions losing things in the hyperactive and impulsive type it's things like talking a lot struggling to wait your turn in a queue being unable to sit still even in a quiet place where you would be expected to sit still now if you are to be diagnosed with one of those presentations you need to tick six of those different traits within that section to get that presentation diagnosis if you tick six within both of those sections you would be diagnosed like me with combined type which means that you have both presentations and in addition if you are an adult it needs to be considered to have a moderate impact on your life that is that you might struggle with things like keeping a job maintaining relationships,1581,39,26800,58,6,2,2
If You Struggle With ADHD Try These 5 Things,"Five things I would recommend if you struggle with ADHD, take our ADD type test because what I've learned is ADD like depression, like anxiety, it's not one thing. Stop giving everybody stimulants who have ADD, that's why they have a bad reputation. For the right brain, they're miraculous. For the wrong brain, they're a nightmare. Um, as a psychiatrist for ADHD, I'd stop medicating with alcohol and marijuana is both steal your dopamine. I would limit gadgets and video games because they steal your dopamine. I would exercise that boost dopamine. I'd be on a higher protein, lower simple carbohydrate diet. And I might try elyroine because it helps to boost dopamine.",580,13,11650,58,7,6,4
Do You Really Have ADHD? A Psychiatrist Breaks Down the Official Criteria,"Let me go through the official formal criteria as far as diagnosing ADHD. Often fails to give close attention to details or makes careless mistakes in school work, work or other activities. Often has trouble holding attention on task tasks or play activities. Often does not seem to listen when spoken to directly. often does not follow through on instructions and fails to finish schoolwork, chores, or duties in the workplace. Often has trouble organizing tasks and activities. Often avoids, dislikes, or is reluctant to do tasks that require mental effort over a long period of time. Often loses things necessary for tasks and activities. keys, wallet, cell phone, pencils, tools, books, easily distractable and often forgetful in daily activities. Now, these are the attent inattentive symptoms. There's also hyperactive symptoms. You mentioned some of them. Inability to sit still, being fidgety. Now, question for you. Part of the diagnostic criteria is that some of these symptoms are present prior to the age of 12 years old. Which then gets us to the question of is adult onset ADHD a",28,1,2107,92,10,0,1
Self Diagnosing ADHD,this is going to ruffle quite a few feathers but I was just having this conversation with a friend of mine not everyone has ADD not everyone has ADHD and seriously I keep getting targeted for this ad on Tik Tok like literally it's like this tah Health company that that wants to diagnose you with ADHD and send you medication for ADHD and I just feel like not everyone has ADHD and then there are other people who like I also have ADHD like no you don't you're just annoying no everyone's getting too comfortable that's two different things one it's like you know using a clinical term to describe yourself and and that's not the case and another is like the over diagnoses of the population yeah yeah yeah yeah I agree so we've got different but you just reminded me we've got lots of issues and I'm hyper fixating on them today,250,34,12990,43,2,0,1
All 14 behaviour you need for an ADHD diagnosis #adhd #adhdawareness #adhdinwomen,All 14 official ADHD behaviours you need for a diagnosis: 1. Trouble sitting Still 2. Quickly distracted by different stimulating things 3. Difficulty concertrating on things that don't interest you 4. Quickly switching from one activity to another 5. Can't keep internally still 6. Can't wait ur turn in group constellations 7. Often knowing the answer to a question 8. Trouble fulfilling tasks 9. Difficulty trying to play calmy 10. Often not thinking through before doing them 11. Often losing things 12. Frequently disrupting others 13. Talking a lot 14. Often not seeming to be listening,4159,181,132835,42,15,2,1
ADHD Late Diagnosis Consequences,"People say the ADHD diagnosis is pointless, labeling yourself. Did you know that not being diagnosed can lead to some pretty serious consequences? Two times as many relationships fail when one of the partners has ADHD. Literal jail. Research suggests that between 25 and 45% of people in prison would meet the diagnostic criteria for ADHD, and that's compared to 5% of people in the general population. Addiction. People with ADHD who are not diagnosed still have symptoms and may end up turning to unhelpful coping strategies that can turn into addictions that they can't get away from because they still need a crutch to cope with their ADHD symptoms. Low self-esteem. Shame. ADHDers have received so many more negative messages by the time they're even 10 years old. And this means that they do not feel good about themselves, and this can lead to things like not being able to maintain boundaries, being a people pleaser, and secondary to that, not achieving your academic potential, not achieving your career goals.",1741,47,18953,56,5,3,3
Things that are common after getting a late ADHD Diagnosis: 1,"So, you just received a late in life ADHD diagnosis and you're like, ""Now what?"" I'm an ADHD coach with a late diagnosis and here's what I recommend. First off, it might be nice to know that 6% of US adults have ADHD and over half of them are diagnosed in adulthood. It is super normal to experience grief, anger, feeling overwhelm about where do I even start dealing with this? And even noticing that your ADHD symptoms are worsening. Totally, totally normal. And I promise you, it's temporary. But here's what I recommend you consider doing after that late diagnosis. First off, explore treatment options. Talk to your doctor about medication and lifestyle changes that can aid in ADHD management. And then from there, I recommend taking time to learn about your ADHD. This is so important because when we understand our ADHD brains, it helps us to manage our ADHD better, advocate for ourselves more effectively, be kinder to ourselves, and it gives us the agency we need to make the changes in our lives that need to happen for us to be more successful. There's a ton of information about ADHD on the internet. Not all of it's true. So, I definitely recommend check your sources. And here are a few reliable sources that I really like. And the third thing that I recommend you do is that you find some sort of community for support. A lot of times when we get that ADHD diagnosis, we can feel really alone. I remember feeling like I'm so weird. No one understands me. I don't know anyone like me. And then when I started opening up to my friends, it turns out that a lot of my friends also had ADHD. And it was so validating to be able to connect with people who also had ADHD. Now, if you don't have ADHD friends, there's tons of places for online communities. Add.org or has some really good support groups. And I of course offer a really nice group coaching program if you're looking to connect with other ADHDers and learn about your ADHD and get stuff done and have fun. And I don't know if you need to hear this, but getting diagnosed with ADHD changed everything and nothing for me at the same time. I was still the same person with the same quirks and the same problems. But getting a diagnosis made me realize that the things that I sucked at weren't character flaws. They were just brain differences. And because I understood this, it became the first time in my life that I really started to love myself. And additionally, understanding the root of my challenges allowed me to accommodate myself more effectively. And life slowly became easier and easier all because some doctor smacked some label on me. As controversial as that seems to a lot of people. Anyway, if this was helpful and if you want more ADHD content and support, follow along. I've got group coaching, one-on-one coaching, and a bunch of really helpful resources linked in my bio.",271,3,2010,133,6,1,1
